Date,FXE,EWJ,GLD,QQQ
2007-01-03,131.72000122070312,56.79999923706055,62.279998779296875,43.2400016784668
2007-01-04,130.92999267578125,57.400001525878906,61.650001525878906,44.060001373291016
2007-01-05,130.08999633789062,55.91999816894531,60.16999816894531,43.849998474121094
2007-01-08,130.27000427246094,56.2400016784668,60.47999954223633,43.880001068115234
2007-01-09,130.05999755859375,56.599998474121094,60.849998474121094,44.099998474121094
2007-01-10,129.57000732421875,55.7599983215332,60.59000015258789,44.619998931884766
2007-01-11,129.10000610351562,55.47999954223633,60.630001068115234,45.08000183105469
2007-01-12,129.35000610351562,56.20000076293945,62.16999816894531,45.310001373291016
2007-01-16,129.3699951171875,56.400001525878906,61.970001220703125,45.279998779296875
2007-01-17,129.47999572753906,56.400001525878906,62.63999938964844,44.90999984741211
2007-01-18,129.82000732421875,56.36000061035156,62.2599983215332,44.08000183105469
2007-01-19,129.86000061035156,56.7599983215332,63.0,44.16999816894531
2007-01-22,129.74000549316406,56.7599983215332,62.720001220703125,43.689998626708984
2007-01-23,130.5399932861328,57.08000183105469,64.2300033569336,43.58000183105469
2007-01-24,129.9499969482422,57.84000015258789,64.33000183105469,44.29999923706055
2007-01-25,129.72000122070312,56.880001068115234,64.05999755859375,43.72999954223633
2007-01-26,129.47000122070312,56.91999816894531,64.16999816894531,43.56999969482422
2007-01-29,129.83999633789062,57.119998931884766,63.77000045776367,43.61000061035156
2007-01-30,130.02999877929688,57.47999954223633,64.22000122070312,43.630001068115234
2007-01-31,130.75,57.2400016784668,64.83000183105469,44.06999969482422
2007-02-01,130.24000549316406,58.0,65.22000122070312,44.0
2007-02-02,129.72999572753906,57.63999938964844,64.27999877929688,44.15999984741211
2007-02-05,129.3699951171875,57.20000076293945,64.30999755859375,44.119998931884766
2007-02-06,129.88999938964844,57.68000030517578,64.79000091552734,44.060001373291016
2007-02-07,130.2100067138672,57.63999938964844,64.62999725341797,44.459999084472656
2007-02-08,130.50999450683594,56.91999816894531,65.5199966430664,44.45000076293945
2007-02-09,130.16000366210938,57.08000183105469,66.12000274658203,43.880001068115234
2007-02-12,129.77000427246094,57.040000915527344,65.66999816894531,43.709999084472656
2007-02-13,130.5,58.2400016784668,65.83999633789062,43.86000061035156
2007-02-14,131.47999572753906,59.20000076293945,66.37000274658203,44.599998474121094
2007-02-15,131.63999938964844,59.68000030517578,66.41000366210938,44.86000061035156
2007-02-16,131.60000610351562,59.63999938964844,66.36000061035156,44.709999084472656
2007-02-20,131.58999633789062,59.439998626708984,65.30999755859375,45.04999923706055
2007-02-21,131.64999389648438,59.47999954223633,67.3499984741211,45.189998626708984
2007-02-22,131.47999572753906,59.63999938964844,67.1500015258789,45.41999816894531
2007-02-23,131.94000244140625,60.15999984741211,67.72000122070312,45.2599983215332
2007-02-26,132.13999938964844,60.560001373291016,68.0999984741211,45.040000915527344
2007-02-27,132.67999267578125,59.119998931884766,65.41000366210938,43.189998626708984
2007-02-28,132.64999389648438,59.040000915527344,66.4800033569336,43.33000183105469
2007-03-01,131.91000366210938,58.7599983215332,65.81999969482422,43.130001068115234
2007-03-02,132.0,57.79999923706055,63.709999084472656,42.47999954223633
2007-03-05,131.0,56.959999084472656,62.93000030517578,42.150001525878906
2007-03-06,131.35000610351562,58.31999969482422,64.1500015258789,42.849998474121094
2007-03-07,131.92999267578125,58.20000076293945,64.30000305175781,42.68000030517578
2007-03-08,131.50999450683594,58.720001220703125,64.4800033569336,42.970001220703125
2007-03-09,131.27000427246094,58.7599983215332,64.25,42.93000030517578
2007-03-12,132.13999938964844,59.2400016784668,64.37000274658203,43.209999084472656
2007-03-13,132.11000061035156,58.15999984741211,63.720001220703125,42.369998931884766
2007-03-14,132.41000366210938,57.63999938964844,63.939998626708984,42.9900016784668
2007-03-15,132.5500030517578,57.68000030517578,63.97999954223633,42.88999938964844
2007-03-16,133.3800048828125,57.63999938964844,64.62000274658203,42.83000183105469
2007-03-19,133.22999572753906,58.279998779296875,64.73999786376953,43.27000045776367
2007-03-20,133.47000122070312,58.79999923706055,65.2699966430664,43.58000183105469
2007-03-21,134.14999389648438,59.439998626708984,65.81999969482422,44.41999816894531
2007-03-22,133.66000366210938,59.52000045776367,65.76000213623047,44.2599983215332
2007-03-23,133.22999572753906,59.599998474121094,65.1500015258789,44.119998931884766
2007-03-26,133.64999389648438,59.279998779296875,65.83999633789062,44.29999923706055
2007-03-27,133.88999938964844,59.040000915527344,65.69999694824219,43.9900016784668
2007-03-28,133.44000244140625,58.599998474121094,66.05000305175781,43.52000045776367
2007-03-29,133.67999267578125,58.68000030517578,65.6500015258789,43.56999969482422
2007-03-30,133.92999267578125,58.279998779296875,65.73999786376953,43.529998779296875
2007-04-02,133.82000732421875,57.959999084472656,65.8499984741211,43.59000015258789
2007-04-03,133.42999267578125,58.439998626708984,65.83000183105469,44.15999984741211
2007-04-04,133.6999969482422,58.880001068115234,66.80999755859375,44.34000015258789
2007-04-05,134.41000366210938,58.720001220703125,66.86000061035156,44.560001373291016
2007-04-09,133.63999938964844,58.63999938964844,66.52999877929688,44.45000076293945
2007-04-10,134.4600067138672,58.84000015258789,67.16000366210938,44.68000030517578
2007-04-11,134.52000427246094,58.599998474121094,67.08000183105469,44.209999084472656
2007-04-12,135.02999877929688,58.52000045776367,66.98999786376953,44.560001373291016
2007-04-13,135.60000610351562,58.040000915527344,67.83999633789062,44.650001525878906
2007-04-16,135.66000366210938,58.880001068115234,68.4000015258789,45.060001373291016
2007-04-17,135.8699951171875,58.52000045776367,68.0,45.15999984741211
2007-04-18,136.13999938964844,58.599998474121094,68.37999725341797,45.0099983215332
2007-04-19,136.33999633789062,58.31999969482422,67.52999877929688,45.150001525878906
2007-04-20,136.19000244140625,58.560001373291016,68.69999694824219,45.400001525878906
2007-04-23,136.0,57.91999816894531,68.26000213623047,45.470001220703125
2007-04-24,136.64999389648438,57.84000015258789,67.7300033569336,45.70000076293945
2007-04-25,136.74000549316406,58.15999984741211,67.88999938964844,46.310001373291016
2007-04-26,136.32000732421875,57.880001068115234,66.87000274658203,46.54999923706055
2007-04-27,136.94000244140625,57.560001373291016,67.55999755859375,46.56999969482422
2007-04-30,136.91000366210938,57.119998931884766,67.08999633789062,45.959999084472656
2007-05-01,136.13999938964844,57.119998931884766,66.69000244140625,45.91999816894531
2007-05-02,136.0,57.439998626708984,66.66000366210938,46.41999816894531
2007-05-03,135.60000610351562,57.52000045776367,67.48999786376953,46.59000015258789
2007-05-04,136.05999755859375,57.720001220703125,68.19000244140625,46.630001068115234
2007-05-07,136.07000732421875,58.0,68.25,46.630001068115234
2007-05-08,135.50999450683594,57.880001068115234,67.87999725341797,46.72999954223633
2007-05-09,135.5399932861328,58.599998474121094,67.44999694824219,46.83000183105469
2007-05-10,135.0,57.720001220703125,66.0,46.189998626708984
2007-05-11,135.49000549316406,58.15999984741211,66.44999694824219,46.779998779296875
2007-05-14,135.57000732421875,58.0,66.27999877929688,46.459999084472656
2007-05-15,136.0,57.52000045776367,66.54000091552734,46.099998474121094
2007-05-16,135.44000244140625,57.63999938964844,65.5999984741211,46.54999923706055
2007-05-17,135.10000610351562,57.15999984741211,65.05999755859375,46.33000183105469
2007-05-18,135.3800048828125,57.0,65.5199966430664,46.709999084472656
2007-05-21,134.94000244140625,57.0,65.66999816894531,47.0099983215332
2007-05-22,134.69000244140625,57.560001373291016,65.19999694824219,47.04999923706055
2007-05-23,134.92999267578125,57.63999938964844,65.54000091552734,46.83000183105469
2007-05-24,134.5500030517578,57.36000061035156,64.75,46.15999984741211
